S1;S2;S3;S4;S5;S6;S7;Signatur;Benennung;Profitent;Abt;Datierungvon;Datierungbis;Höhe;Breite;Fläche;Material;Ausstattung;Sprache;Bemerkung;Nalt1;Nalt2;Sortierung;Text;Invocatio;Intitulatio;Arenga;Dispositio;Testes;Datierung22;FuI;Datierungvon2;Datierungbis2;Datierungtext
2;A;117;;;;;StAS 2.A.117;Professurkunde des Urbanus Perndatz de Vilaco;Urbanus Perndatz de Vilaco;Georgius;15610221;15610221;203;270;54810;Pergament;Initiale I;Latein;;118;117;0002A0117000000000000;;;;;;;;"Abt: Georgius 
Abmessungen (BxH in mm): 270x203";21.02.1561;21.02.1561;21.02.1561
2;A;118;;;;;StAS 2.A.118;Professurkunde des Aegidius Puemilner de Seittensteten;Aegidius Puemilner de Seittensteten;Georgius;15610221;15610221;202;268;54136;Pergament;Initiale I;Latein;;119;118;0002A0118000000000000;;;;;;;;"Abt: Georgius 
Abmessungen (BxH in mm): 268x202";21.02.1561;21.02.1561;21.02.1561
2;A;119;;;;;StAS 2.A.119;Professurkunde des Franciscus de Atmunt ex stiriensis;Franciscus de Atmunt ex stiriensis;Elias;15650917;15650917;174;235;40890;Pergament;;Latein;;120;119;0002A0119000000000000;;;;;;;;"Abt: Elias 
Abmessungen (BxH in mm): 235x174";17.09.1565;17.09.1565;17.09.1565
2;A;120;;;;;StAS 2.A.120;Professurkunde des Michael Hipp de Tubinga Wirtenbergensis;Michael Hipp de Tubinga Wirtenbergensis;Elias;15650917;15650917;177;229;40533;Pergament;;Latein;;121;120;0002A0120000000000000;;;;;;;;"Abt: Elias 
Abmessungen (BxH in mm): 229x177";17.09.1565;17.09.1565;17.09.1565
2;A;121;;;;;StAS 2.A.121;Professurkunde des Johannes de Ashpah;Johannes de Ashpah;Elias;15650917;15650917;182;253;46046;Pergament;;Latein;;122;121;0002A0121000000000000;;;;;;;;"Abt: Elias 
Abmessungen (BxH in mm): 253x182";17.09.1565;17.09.1565;17.09.1565
2;A;122;;;;;StAS 2.A.122;Professurkunde des Nicolaus Stiefferus de Schorndorff in Wirttenbergensis;Nicolaus Stiefferus de Schorndorff in Wirttenbergensis;Elias;15650917;15650917;190;219;41610;Pergament;;Latein;;123;122;0002A0122000000000000;;;;;;;;"Abt: Elias 
Abmessungen (BxH in mm): 219x190";17.09.1565;17.09.1565;17.09.1565
2;A;123;;;;;StAS 2.A.123;Professurkunde des Simon Anasii;Simon Anasii;Elias;15670824;15670824;185;219;40515;Pergament;;Latein;;124;123;0002A0123000000000000;;;;;;;;"Abt: Elias 
Abmessungen (BxH in mm): 219x185";24.08.1567;24.08.1567;24.08.1567
2;A;124;;;;;StAS 2.A.124;Professurkunde des Nicolaus Sagittarius;Nicolaus Sagittarius;Domitianus;15700325;15700325;129;213;27477;Pergament;;Latein;;125;;0002A0124000000000000;;;;;;;;"Abt: Domitianus 
Abmessungen (BxH in mm): 213x129";25.03.1570;25.03.1570;25.03.1570
2;A;125;;;;;StAS 2.A.125;Professurkunde des Pelagius Schnee de Eritropole;Pelagius Schnee de Eritropole;Christophorus;15740313;15740313;157;174;27318;Pergament;;Latein;;126;125;0002A0125000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 174x157";13.03.1574;13.03.1574;13.03.1574
2;A;126;;;;;StAS 2.A.126;Professurkunde des Martinus Gassenauer;Martinus Gassenauer;Christophorus;15740513;15740513;196;185;36260;Pergament;;Latein;IHS am Kopf;127;126;0002A0126000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 185x196";13.05.1574;13.05.1574;13.05.1574
2;A;127;;;;;StAS 2.A.127;Professurkunde des Joannes Hoffman;Joannes Hoffman;Christophorus;15780729;15780729;172;172;29584;Pergament;Initiale I;Latein;;128;127;0002A0127000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 172x172";29.07.1578;29.07.1578;29.07.1578
2;A;128;;;;;StAS 2.A.128;Professurkunde des Leonhardus Finstermacherus de Rain;Leonhardus Finstermacherus de Rain;Christophorus;15820220;15820220;186;163;30318;Pergament;;Latein;;129;128;0002A0128000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 163x186";20.02.1582;20.02.1582;20.02.1582
2;A;129;;;;;StAS 2.A.129;Professurkunde des Nicolaus Ziegler Rupfferpergensis;Nicolaus Ziegler Rupfferpergensis;Christophorus;15870204;15870204;233;181;42173;Papier;;Latein;;130;129;0002A0129000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 181x233";04.02.1587;04.02.1587;04.02.1587
2;A;130;;;;;StAS 2.A.130;Professurkunde des Laurentius Stelzerus Gamundiensis;Laurentius Stelzerus Gamundiensis;Christophorus;15870204;15870204;268;216;57888;Papier;;Latein;;131;130;0002A0130000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 216x268";04.02.1587;04.02.1587;04.02.1587
